[2018-10-24 04:39:12+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:39:33+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:39:54+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:40:16+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:40:37+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:40:58+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:41:19+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:41:40+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:42:01+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:42:22+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:42:44+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:43:04+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:43:26+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:43:47+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:44:08+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:44:29+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:44:50+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:45:11+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:45:32+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:45:54+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:46:15+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:46:36+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:46:57+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:47:18+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:47:39+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:48:00+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:48:22+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:48:43+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:49:04+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:49:25+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:49:46+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:50:07+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:50:28+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:50:49+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:51:11+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:51:32+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:51:53+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:52:14+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:52:35+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:52:56+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:53:17+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:53:39+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:54:00+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:54:21+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:54:42+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:55:03+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:55:24+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:55:46+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:56:06+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:56:28+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:56:49+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:57:10+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:57:31+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:57:52+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:58:13+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:58:34+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:58:56+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:59:17+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:59:38+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:59:59+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:00:20+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:00:41+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:01:02+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:01:23+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:01:44+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:02:06+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:02:27+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:02:48+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:03:09+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:03:30+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:03:51+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:04:13+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:04:33+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:04:55+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:05:16+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:05:37+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:05:58+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:06:19+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:06:40+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:07:02+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:07:23+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:07:44+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:08:05+0000] Successfully connected to UAA, continuing startup
[2018-10-24 05:08:26+0000] Successfully connected to UAA, continuing startup
